iter	Passed	Remaining
869	48494	174469
870	48548	174406
871	48601	174342
872	48655	174279
873	48711	174222
874	48765	174161
875	48821	174106
876	48876	174048
877	48927	173976
878	48984	173924
879	49039	173865
880	49095	173813
881	49148	173747
882	49199	173674
883	49248	173596
884	49304	173539
885	49381	173559
886	49430	173481
887	49487	173430
888	49541	173368
889	49595	173305
890	49649	173243
891	49702	173177
892	49757	173118
893	49816	173077
894	49872	173021
895	49924	172954
896	49977	172886
897	50032	172829
898	50086	172766
899	50139	172702
900	50195	172649
901	50251	172593
902	50310	172549
903	50368	172501
904	50433	172476
905	50491	172429
906	50544	172364
907	50602	172314
908	50653	172244
909	50708	172185
910	50764	172131
911	50815	172058
912	50875	172018
913	50932	171965
914	50984	171899
915	51032	171817
916	51090	171767
917	51140	171695
918	51197	171643
919	51250	171576
920	51299	171499
921	51366	171482
922	51437	171476
923	51517	171503
924	51570	171437
925	51631	171399
926	51694	171366
927	51757	171334
928	51813	171281
929	51878	171254
930	51939	171216
931	51996	171163
932	52050	171101
933	52105	171044
934	52158	170980
935	52212	170917
936	52264	170851
937	52318	170789
938	52372	170726
939	52424	170658
940	52475	170587
941	52550	170594
942	52603	170530
943	52656	170463
944	52705	170386
945	52764	170340
946	52824	170298
947	52882	170250
948	52938	170195
949	52998	170152
950	53053	170095
951	53116	170063
952	53172	170006
953	53232	169965
954	53287	169906
955	53342	169846
956	53401	169801
957	53453	169733
958	53509	169678
959	53588	169697
960	53642	169634
961	53697	169577
962	53752	169517
963	53803	169447
964	53861	169397
965	53916	169339
966	53970	169278
967	54025	169220
968	54079	169157
969	54129	169083
970	54185	169031
971	54242	168979
972	54298	168922
973	54355	168870
974	54409	168808
975	54460	168739
976	54517	168687
977	54590	168683
978	54642	168616
979	54698	168560
980	54746	168482
981	54799	168417
982	54853	168355
983	54910	168304
984	54963	168239
985	55019	168182
986	55075	168129
987	55134	168081
988	55188	168020
989	55241	167955
990	55297	167901
991	55354	167848
992	55405	167777
